,datetime,season,holiday,workingday,weather,atemp,casual,registered,hour,year,sunindicator
0,2011-01-01 00:00:00,1,0,0,1,14.395,3,13,0,2011,0
1,2011-01-01 01:00:00,1,0,0,1,13.635,8,32,1,2011,0
2,2011-01-01 02:00:00,1,0,0,1,13.635,5,27,2,2011,0
3,2011-01-01 03:00:00,1,0,0,1,14.395,3,10,3,2011,0
4,2011-01-01 04:00:00,1,0,0,1,14.395,0,1,4,2011,0
5,2011-01-01 05:00:00,1,0,0,2,12.88,0,1,5,2011,0
6,2011-01-01 06:00:00,1,0,0,1,13.635,2,0,6,2011,0
7,2011-01-01 07:00:00,1,0,0,1,12.88,1,2,7,2011,1
8,2011-01-01 08:00:00,1,0,0,1,14.395,1,7,8,2011,1
9,2011-01-01 09:00:00,1,0,0,1,17.425,8,6,9,2011,1
10,2011-01-01 10:00:00,1,0,0,1,19.695,12,24,10,2011,1
11,2011-01-01 11:00:00,1,0,0,1,16.665,26,30,11,2011,1
12,2011-01-01 12:00:00,1,0,0,1,21.21,29,55,12,2011,1
13,2011-01-01 13:00:00,1,0,0,2,22.725,47,47,13,2011,1
14,2011-01-01 14:00:00,1,0,0,2,22.725,35,71,14,2011,1
15,2011-01-01 15:00:00,1,0,0,2,21.97,40,70,15,2011,1
16,2011-01-01 16:00:00,1,0,0,2,21.21,41,52,16,2011,1
17,2011-01-01 17:00:00,1,0,0,2,21.97,15,52,17,2011,1
18,2011-01-01 18:00:00,1,0,0,3,21.21,9,26,18,2011,0
19,2011-01-01 19:00:00,1,0,0,3,21.21,6,31,19,2011,0
20,2011-01-01 20:00:00,1,0,0,2,20.455,11,25,20,2011,0
21,2011-01-01 21:00:00,1,0,0,2,20.455,3,31,21,2011,0
22,2011-01-01 22:00:00,1,0,0,2,20.455,11,17,22,2011,0
23,2011-01-01 23:00:00,1,0,0,2,22.725,15,24,23,2011,0
24,2011-01-02 00:00:00,1,0,0,2,22.725,4,13,0,2011,0
25,2011-01-02 01:00:00,1,0,0,2,21.97,1,16,1,2011,0
