date,month,day,year,sunrise,sunset
1/1/2011,1,1,2011,727,1657
1/2/2011,1,2,2011,727,1658
1/3/2011,1,3,2011,727,1658
1/4/2011,1,4,2011,727,1659
1/5/2011,1,5,2011,727,1700
1/6/2011,1,6,2011,727,1701
1/7/2011,1,7,2011,727,1702
1/8/2011,1,8,2011,727,1703
1/9/2011,1,9,2011,727,1704
1/10/2011,1,10,2011,727,1705
1/11/2011,1,11,2011,726,1706
1/12/2011,1,12,2011,726,1707
1/13/2011,1,13,2011,726,1708
1/14/2011,1,14,2011,726,1709
1/15/2011,1,15,2011,725,1710
1/16/2011,1,16,2011,725,1711
1/17/2011,1,17,2011,724,1712
1/18/2011,1,18,2011,724,1713
1/19/2011,1,19,2011,724,1714
1/20/2011,1,20,2011,723,1715
1/21/2011,1,21,2011,723,1717
1/22/2011,1,22,2011,722,1718
1/23/2011,1,23,2011,721,1719
1/24/2011,1,24,2011,721,1720
1/25/2011,1,25,2011,720,1721
1/26/2011,1,26,2011,719,1722
1/27/2011,1,27,2011,719,1723
1/28/2011,1,28,2011,718,1725
1/29/2011,1,29,2011,717,1726
1/30/2011,1,30,2011,716,1727
1/31/2011,1,31,2011,715,1728
2/1/2011,2,1,2011,715,1729
2/2/2011,2,2,2011,714,1730
2/3/2011,2,3,2011,713,1732
2/4/2011,2,4,2011,712,1733
2/5/2011,2,5,2011,711,1734
2/6/2011,2,6,2011,710,1735
2/7/2011,2,7,2011,709,1736
2/8/2011,2,8,2011,708,1737
2/9/2011,2,9,2011,707,1739
2/10/2011,2,10,2011,706,1740
2/11/2011,2,11,2011,704,1741
2/12/2011,2,12,2011,703,1742
2/13/2011,2,13,2011,702,1743
2/14/2011,2,14,2011,701,1744
2/15/2011,2,15,2011,700,1745
2/16/2011,2,16,2011,658,1746
2/17/2011,2,17,2011,657,1748
2/18/2011,2,18,2011,656,1749
2/19/2011,2,19,2011,655,1750
2/20/2011,2,20,2011,653,1751
2/21/2011,2,21,2011,652,1752
2/22/2011,2,22,2011,651,1753
2/23/2011,2,23,2011,649,1754
2/24/2011,2,24,2011,648,1755
2/25/2011,2,25,2011,647,1756
2/26/2011,2,26,2011,645,1757
2/27/2011,2,27,2011,644,1758
2/28/2011,2,28,2011,642,1800
3/1/2011,3,1,2011,641,1801
3/2/2011,3,2,2011,640,1802
3/3/2011,3,3,2011,638,1803
3/4/2011,3,4,2011,637,1804
3/5/2011,3,5,2011,635,1805
3/6/2011,3,6,2011,634,1806
3/7/2011,3,7,2011,632,1807
3/8/2011,3,8,2011,631,1808
3/9/2011,3,9,2011,629,1809
3/10/2011,3,10,2011,628,1810
3/11/2011,3,11,2011,626,1811
3/12/2011,3,12,2011,625,1812
3/13/2011,3,13,2011,623,1813
3/14/2011,3,14,2011,621,1814
3/15/2011,3,15,2011,620,1815
3/16/2011,3,16,2011,618,1816
3/17/2011,3,17,2011,617,1817
3/18/2011,3,18,2011,615,1818
3/19/2011,3,19,2011,614,1819
3/20/2011,3,20,2011,612,1820
3/21/2011,3,21,2011,610,1821
3/22/2011,3,22,2011,609,1822
3/23/2011,3,23,2011,607,1823
3/24/2011,3,24,2011,606,1824
3/25/2011,3,25,2011,604,1825
3/26/2011,3,26,2011,603,1826
3/27/2011,3,27,2011,601,1827
3/28/2011,3,28,2011,600,1828
3/29/2011,3,29,2011,558,1829
3/30/2011,3,30,2011,556,1830
3/31/2011,3,31,2011,555,1830
4/1/2011,4,1,2011,553,1831
4/2/2011,4,2,2011,552,1832
4/3/2011,4,3,2011,550,1833
4/4/2011,4,4,2011,549,1834
4/5/2011,4,5,2011,547,1835
4/6/2011,4,6,2011,546,1836
4/7/2011,4,7,2011,544,1837
4/8/2011,4,8,2011,543,1838
4/9/2011,4,9,2011,541,1839
4/10/2011,4,10,2011,540,1840
4/11/2011,4,11,2011,538,1841
4/12/2011,4,12,2011,537,1842
4/13/2011,4,13,2011,535,1843
4/14/2011,4,14,2011,534,1844
4/15/2011,4,15,2011,532,1845
4/16/2011,4,16,2011,531,1846
4/17/2011,4,17,2011,529,1847
4/18/2011,4,18,2011,528,1848
4/19/2011,4,19,2011,526,1849
4/20/2011,4,20,2011,525,1850
4/21/2011,4,21,2011,524,1851
4/22/2011,4,22,2011,522,1852
4/23/2011,4,23,2011,521,1853
4/24/2011,4,24,2011,520,1854
4/25/2011,4,25,2011,518,1855
4/26/2011,4,26,2011,517,1856
4/27/2011,4,27,2011,516,1857
4/28/2011,4,28,2011,514,1858
4/29/2011,4,29,2011,513,1858
4/30/2011,4,30,2011,512,1859
5/1/2011,5,1,2011,511,1900
5/2/2011,5,2,2011,509,1901
5/3/2011,5,3,2011,508,1902
5/4/2011,5,4,2011,507,1903
5/5/2011,5,5,2011,506,1904
5/6/2011,5,6,2011,505,1905
5/7/2011,5,7,2011,504,1906
5/8/2011,5,8,2011,503,1907
5/9/2011,5,9,2011,502,1908
5/10/2011,5,10,2011,501,1909
5/11/2011,5,11,2011,500,1910
5/12/2011,5,12,2011,459,1911
5/13/2011,5,13,2011,458,1912
5/14/2011,5,14,2011,457,1913
5/15/2011,5,15,2011,456,1914
5/16/2011,5,16,2011,455,1914
5/17/2011,5,17,2011,454,1915
5/18/2011,5,18,2011,453,1916
5/19/2011,5,19,2011,453,1917
5/20/2011,5,20,2011,452,1918
5/21/2011,5,21,2011,451,1919
5/22/2011,5,22,2011,450,1920
5/23/2011,5,23,2011,450,1921
5/24/2011,5,24,2011,449,1921
5/25/2011,5,25,2011,448,1922
5/26/2011,5,26,2011,448,1923
5/27/2011,5,27,2011,447,1924
5/28/2011,5,28,2011,447,1924
5/29/2011,5,29,2011,446,1925
5/30/2011,5,30,2011,446,1926
5/31/2011,5,31,2011,445,1927
6/1/2011,6,1,2011,445,1927
6/2/2011,6,2,2011,444,1928
6/3/2011,6,3,2011,444,1929
6/4/2011,6,4,2011,444,1929
6/5/2011,6,5,2011,444,1930
6/6/2011,6,6,2011,443,1931
6/7/2011,6,7,2011,443,1931
6/8/2011,6,8,2011,443,1932
6/9/2011,6,9,2011,443,1932
6/10/2011,6,10,2011,443,1933
6/11/2011,6,11,2011,442,1933
6/12/2011,6,12,2011,442,1934
6/13/2011,6,13,2011,442,1934
6/14/2011,6,14,2011,442,1935
6/15/2011,6,15,2011,442,1935
6/16/2011,6,16,2011,442,1935
6/17/2011,6,17,2011,442,1936
6/18/2011,6,18,2011,443,1936
6/19/2011,6,19,2011,443,1936
6/20/2011,6,20,2011,443,1937
6/21/2011,6,21,2011,443,1937
6/22/2011,6,22,2011,443,1937
6/23/2011,6,23,2011,443,1937
6/24/2011,6,24,2011,444,1937
6/25/2011,6,25,2011,444,1937
6/26/2011,6,26,2011,444,1937
6/27/2011,6,27,2011,445,1938
6/28/2011,6,28,2011,445,1938
6/29/2011,6,29,2011,446,1938
6/30/2011,6,30,2011,446,1937
