,registered,casual,season,holiday,workingday,weather,atemp,hour,year,sunindicator
0,13,3,1,0,0,1,14.395,0,2011,0
1,32,8,1,0,0,1,13.635,1,2011,0
2,27,5,1,0,0,1,13.635,2,2011,0
3,10,3,1,0,0,1,14.395,3,2011,0
4,1,0,1,0,0,1,14.395,4,2011,0
5,1,0,1,0,0,2,12.88,5,2011,0
6,0,2,1,0,0,1,13.635,6,2011,0
7,2,1,1,0,0,1,12.88,7,2011,1
8,7,1,1,0,0,1,14.395,8,2011,1
9,6,8,1,0,0,1,17.425,9,2011,1
10,24,12,1,0,0,1,19.695,10,2011,1
11,30,26,1,0,0,1,16.665,11,2011,1
12,55,29,1,0,0,1,21.21,12,2011,1
13,47,47,1,0,0,2,22.725,13,2011,1
14,71,35,1,0,0,2,22.725,14,2011,1
15,70,40,1,0,0,2,21.97,15,2011,1
16,52,41,1,0,0,2,21.21,16,2011,1
17,52,15,1,0,0,2,21.97,17,2011,1
18,26,9,1,0,0,3,21.21,18,2011,0
19,31,6,1,0,0,3,21.21,19,2011,0
20,25,11,1,0,0,2,20.455,20,2011,0
21,31,3,1,0,0,2,20.455,21,2011,0
22,17,11,1,0,0,2,20.455,22,2011,0
23,24,15,1,0,0,2,22.725,23,2011,0
24,13,4,1,0,0,2,22.725,0,2011,0
25,16,1,1,0,0,2,21.97,1,2011,0
26,8,1,1,0,0,2,21.21,2,2011,0
27,4,2,1,0,0,2,22.725,3,2011,0
28,1,2,1,0,0,2,22.725,4,2011,0
29,2,0,1,0,0,3,21.21,6,2011,0
30,1,0,1,0,0,2,20.455,7,2011,1
31,8,0,1,0,0,3,20.455,8,2011,1
32,19,1,1,0,0,2,19.695,9,2011,1
33,46,7,1,0,0,2,17.425,10,2011,1
34,54,16,1,0,0,2,16.665,11,2011,1
35,73,20,1,0,0,2,16.665,12,2011,1
36,64,11,1,0,0,2,17.425,13,2011,1
37,55,4,1,0,0,3,17.425,14,2011,1
38,55,19,1,0,0,3,16.665,15,2011,1
39,67,9,1,0,0,3,16.665,16,2011,1
40,58,7,1,0,0,1,16.665,17,2011,1
41,43,10,1,0,0,2,16.665,18,2011,0
42,29,1,1,0,0,1,14.395,19,2011,0
43,17,5,1,0,0,1,13.635,20,2011,0
44,20,11,1,0,0,1,11.365,21,2011,0
45,9,0,1,0,0,1,10.605,22,2011,0
46,8,0,1,0,0,1,11.365,23,2011,0
47,5,0,1,0,1,1,9.85,0,2011,0
48,2,0,1,0,1,1,8.335,1,2011,0
49,1,0,1,0,1,1,6.82,4,2011,0
50,3,0,1,0,1,1,6.82,5,2011,0
51,30,0,1,0,1,1,5.305,6,2011,0
52,63,1,1,0,1,1,6.82,7,2011,1
53,153,1,1,0,1,1,6.06,8,2011,1
54,81,7,1,0,1,1,6.82,9,2011,1
55,33,11,1,0,1,1,8.335,10,2011,1
56,41,10,1,0,1,1,9.09,11,2011,1
57,48,13,1,0,1,1,10.605,12,2011,1
58,53,8,1,0,1,1,10.605,13,2011,1
59,66,11,1,0,1,1,12.12,14,2011,1
60,58,14,1,0,1,1,12.12,15,2011,1
61,67,9,1,0,1,1,12.12,16,2011,1
62,146,11,1,0,1,1,11.365,17,2011,1
63,148,9,1,0,1,1,12.88,18,2011,0
64,102,8,1,0,1,1,12.88,19,2011,0
65,49,3,1,0,1,1,11.365,20,2011,0
66,49,3,1,0,1,1,9.85,21,2011,0
