,datetime,registered,casual,season,holiday,workingday,weather,atemp,hour,year,sunindicator
0,2011-01-01 00:00:00,13,3,1,0,0,1,14.395,0,2011,0
1,2011-01-01 01:00:00,32,8,1,0,0,1,13.635,1,2011,0
2,2011-01-01 02:00:00,27,5,1,0,0,1,13.635,2,2011,0
3,2011-01-01 03:00:00,10,3,1,0,0,1,14.395,3,2011,0
4,2011-01-01 04:00:00,1,0,1,0,0,1,14.395,4,2011,0
5,2011-01-01 05:00:00,1,0,1,0,0,2,12.88,5,2011,0
6,2011-01-01 06:00:00,0,2,1,0,0,1,13.635,6,2011,0
7,2011-01-01 07:00:00,2,1,1,0,0,1,12.88,7,2011,1
8,2011-01-01 08:00:00,7,1,1,0,0,1,14.395,8,2011,1
9,2011-01-01 09:00:00,6,8,1,0,0,1,17.425,9,2011,1
10,2011-01-01 10:00:00,24,12,1,0,0,1,19.695,10,2011,1
11,2011-01-01 11:00:00,30,26,1,0,0,1,16.665,11,2011,1
12,2011-01-01 12:00:00,55,29,1,0,0,1,21.21,12,2011,1
13,2011-01-01 13:00:00,47,47,1,0,0,2,22.725,13,2011,1
14,2011-01-01 14:00:00,71,35,1,0,0,2,22.725,14,2011,1
15,2011-01-01 15:00:00,70,40,1,0,0,2,21.97,15,2011,1
16,2011-01-01 16:00:00,52,41,1,0,0,2,21.21,16,2011,1
17,2011-01-01 17:00:00,52,15,1,0,0,2,21.97,17,2011,1
18,2011-01-01 18:00:00,26,9,1,0,0,3,21.21,18,2011,0
19,2011-01-01 19:00:00,31,6,1,0,0,3,21.21,19,2011,0
20,2011-01-01 20:00:00,25,11,1,0,0,2,20.455,20,2011,0
21,2011-01-01 21:00:00,31,3,1,0,0,2,20.455,21,2011,0
22,2011-01-01 22:00:00,17,11,1,0,0,2,20.455,22,2011,0
23,2011-01-01 23:00:00,24,15,1,0,0,2,22.725,23,2011,0
24,2011-01-02 00:00:00,13,4,1,0,0,2,22.725,0,2011,0
25,2011-01-02 01:00:00,16,1,1,0,0,2,21.97,1,2011,0
26,2011-01-02 02:00:00,8,1,1,0,0,2,21.21,2,2011,0
27,2011-01-02 03:00:00,4,2,1,0,0,2,22.725,3,2011,0
28,2011-01-02 04:00:00,1,2,1,0,0,2,22.725,4,2011,0
29,2011-01-02 06:00:00,2,0,1,0,0,3,21.21,6,2011,0
30,2011-01-02 07:00:00,1,0,1,0,0,2,20.455,7,2011,1
31,2011-01-02 08:00:00,8,0,1,0,0,3,20.455,8,2011,1
32,2011-01-02 09:00:00,19,1,1,0,0,2,19.695,9,2011,1
33,2011-01-02 10:00:00,46,7,1,0,0,2,17.425,10,2011,1
34,2011-01-02 11:00:00,54,16,1,0,0,2,16.665,11,2011,1
35,2011-01-02 12:00:00,73,20,1,0,0,2,16.665,12,2011,1
36,2011-01-02 13:00:00,64,11,1,0,0,2,17.425,13,2011,1
37,2011-01-02 14:00:00,55,4,1,0,0,3,17.425,14,2011,1
38,2011-01-02 15:00:00,55,19,1,0,0,3,16.665,15,2011,1
39,2011-01-02 16:00:00,67,9,1,0,0,3,16.665,16,2011,1
40,2011-01-02 17:00:00,58,7,1,0,0,1,16.665,17,2011,1
41,2011-01-02 18:00:00,43,10,1,0,0,2,16.665,18,2011,0
42,2011-01-02 19:00:00,29,1,1,0,0,1,14.395,19,2011,0
43,2011-01-02 20:00:00,17,5,1,0,0,1,13.635,20,2011,0
44,2011-01-02 21:00:00,20,11,1,0,0,1,11.365,21,2011,0
45,2011-01-02 22:00:00,9,0,1,0,0,1,10.605,22,2011,0
46,2011-01-02 23:00:00,8,0,1,0,0,1,11.365,23,2011,0
47,2011-01-03 00:00:00,5,0,1,0,1,1,9.85,0,2011,0
48,2011-01-03 01:00:00,2,0,1,0,1,1,8.335,1,2011,0
49,2011-01-03 04:00:00,1,0,1,0,1,1,6.82,4,2011,0
50,2011-01-03 05:00:00,3,0,1,0,1,1,6.82,5,2011,0
51,2011-01-03 06:00:00,30,0,1,0,1,1,5.305,6,2011,0
52,2011-01-03 07:00:00,63,1,1,0,1,1,6.82,7,2011,1
