,count,season,holiday,workingday,weather,atemp,humidity,windspeed,hour,year,dow,month,rushhour,sunindicator
0,16,1,0,0,1,14.395,81,0.0,0,2011,6,1,0,0
1,40,1,0,0,1,13.635,80,0.0,1,2011,6,1,0,0
2,32,1,0,0,1,13.635,80,0.0,2,2011,6,1,0,0
3,13,1,0,0,1,14.395,75,0.0,3,2011,6,1,0,0
4,1,1,0,0,1,14.395,75,0.0,4,2011,6,1,0,0
5,1,1,0,0,2,12.88,75,6.0032,5,2011,6,1,0,0
6,2,1,0,0,1,13.635,80,0.0,6,2011,6,1,1,0
7,3,1,0,0,1,12.88,86,0.0,7,2011,6,1,1,1
8,8,1,0,0,1,14.395,75,0.0,8,2011,6,1,1,1
9,14,1,0,0,1,17.425,76,0.0,9,2011,6,1,1,1
10,36,1,0,0,1,19.695,76,16.9979,10,2011,6,1,0,1
11,56,1,0,0,1,16.665,81,19.0012,11,2011,6,1,0,1
12,84,1,0,0,1,21.21,77,19.0012,12,2011,6,1,0,1
13,94,1,0,0,2,22.725,72,19.9995,13,2011,6,1,0,1
14,106,1,0,0,2,22.725,72,19.0012,14,2011,6,1,0,1
15,110,1,0,0,2,21.97,77,19.9995,15,2011,6,1,1,1
16,93,1,0,0,2,21.21,82,19.9995,16,2011,6,1,1,1
17,67,1,0,0,2,21.97,82,19.0012,17,2011,6,1,1,1
18,35,1,0,0,3,21.21,88,16.9979,18,2011,6,1,1,0
19,37,1,0,0,3,21.21,88,16.9979,19,2011,6,1,0,0
20,36,1,0,0,2,20.455,87,16.9979,20,2011,6,1,0,0
21,34,1,0,0,2,20.455,87,12.998,21,2011,6,1,0,0
22,28,1,0,0,2,20.455,94,15.0013,22,2011,6,1,0,0
23,39,1,0,0,2,22.725,88,19.9995,23,2011,6,1,0,0
24,17,1,0,0,2,22.725,88,19.9995,0,2011,7,1,0,0
25,17,1,0,0,2,21.97,94,16.9979,1,2011,7,1,0,0
26,9,1,0,0,2,21.21,100,19.0012,2,2011,7,1,0,0
27,6,1,0,0,2,22.725,94,12.998,3,2011,7,1,0,0
28,3,1,0,0,2,22.725,94,12.998,4,2011,7,1,0,0
29,2,1,0,0,3,21.21,77,19.9995,6,2011,7,1,1,0
30,1,1,0,0,2,20.455,76,12.998,7,2011,7,1,1,1
31,8,1,0,0,3,20.455,71,15.0013,8,2011,7,1,1,1
32,20,1,0,0,2,19.695,76,15.0013,9,2011,7,1,1,1
33,53,1,0,0,2,17.425,81,15.0013,10,2011,7,1,0,1
34,70,1,0,0,2,16.665,71,16.9979,11,2011,7,1,0,1
35,93,1,0,0,2,16.665,66,19.9995,12,2011,7,1,0,1
36,75,1,0,0,2,17.425,66,8.9981,13,2011,7,1,0,1
37,59,1,0,0,3,17.425,76,12.998,14,2011,7,1,0,1
38,74,1,0,0,3,16.665,81,11.0014,15,2011,7,1,1,1
39,76,1,0,0,3,16.665,71,11.0014,16,2011,7,1,1,1
40,65,1,0,0,1,16.665,57,12.998,17,2011,7,1,1,1
41,53,1,0,0,2,16.665,46,22.0028,18,2011,7,1,1,0
42,30,1,0,0,1,14.395,42,30.0026,19,2011,7,1,0,0
